#PicoSessionID,PicoSessionLogID,LogDate,WortTemp,ThermoBlockTemp,Event,ErrorCode,ShuttleScaler
86561,27417071,3/21/2019 7:24:13 PM,65,284,Preparing to Brew,0,0.2
86561,27417074,3/21/2019 7:24:15 PM,65,287,NULL,0,0.2
86561,27417083,3/21/2019 7:24:40 PM,72,238,NULL,0,0.2
86561,27417093,3/21/2019 7:25:06 PM,71,182,NULL,0,0.2
86561,27417102,3/21/2019 7:25:31 PM,70,144,NULL,0,0.2
86561,27417112,3/21/2019 7:25:56 PM,69,118,NULL,0,0.2
86561,27417122,3/21/2019 7:26:21 PM,69,101,NULL,0,0.2
86561,27417132,3/21/2019 7:26:47 PM,69,90,NULL,0,0.2
86561,27417142,3/21/2019 7:27:12 PM,69,83,NULL,0,0.2
86561,27417145,3/21/2019 7:27:16 PM,69,83,Heating,0,0.2
86561,27417159,3/21/2019 7:27:50 PM,74,216,NULL,0,0.2
86561,27417169,3/21/2019 7:28:15 PM,78,311,NULL,0,0.2
86561,27417179,3/21/2019 7:28:40 PM,80,302,NULL,0,0.2
86561,27417189,3/21/2019 7:29:06 PM,81,295,NULL,0,0.2
86561,27417199,3/21/2019 7:29:31 PM,83,294,NULL,0,0.2
86561,27417209,3/21/2019 7:29:56 PM,84,297,NULL,0,0.2
86561,27417219,3/21/2019 7:30:21 PM,89,301,NULL,0,0.2
86561,27417227,3/21/2019 7:30:46 PM,89,335,NULL,0,0.2
86561,27417237,3/21/2019 7:31:12 PM,92,331,NULL,0,0.2
86561,27417245,3/21/2019 7:31:37 PM,94,333,NULL,0,0.2
86561,27417253,3/21/2019 7:32:02 PM,95,331,NULL,0,0.2
86561,27417260,3/21/2019 7:32:27 PM,96,329,NULL,0,0.2
86561,27417270,3/21/2019 7:32:52 PM,99,325,NULL,0,0.2
86561,27417277,3/21/2019 7:33:18 PM,101,332,NULL,0,0.2
86561,27417286,3/21/2019 7:33:43 PM,102,334,NULL,0,0.2
86561,27417296,3/21/2019 7:34:08 PM,102,329,NULL,0,0.2
86561,27417303,3/21/2019 7:34:33 PM,104,331,NULL,0,0.2
86561,27417313,3/21/2019 7:34:58 PM,106,329,NULL,0,0.2
86561,27417322,3/21/2019 7:35:24 PM,109,329,NULL,0,0.2
86561,27417330,3/21/2019 7:35:44 PM,110,325,Dough In,0,0.2
86561,27417333,3/21/2019 7:35:52 PM,100,323,NULL,0,0.2
86561,27417344,3/21/2019 7:36:17 PM,108,336,NULL,0,0.2
86561,27417353,3/21/2019 7:36:42 PM,109,328,NULL,0,0.2
86561,27417362,3/21/2019 7:37:07 PM,110,327,NULL,0,0.2
86561,27417371,3/21/2019 7:37:33 PM,111,326,NULL,0,0.2
86561,27417379,3/21/2019 7:37:58 PM,111,329,NULL,0,0.2
86561,27417388,3/21/2019 7:38:23 PM,112,331,NULL,0,0.2
86561,27417398,3/21/2019 7:38:48 PM,112,335,NULL,0,0.2
86561,27417406,3/21/2019 7:39:13 PM,111,333,NULL,0,0.2
86561,27417415,3/21/2019 7:39:39 PM,111,330,NULL,0,0.2
86561,27417424,3/21/2019 7:40:04 PM,112,327,NULL,0,0.2
86561,27417433,3/21/2019 7:40:29 PM,112,328,NULL,0,0.2
86561,27417442,3/21/2019 7:40:54 PM,110,330,NULL,0,0.2
86561,27417450,3/21/2019 7:41:19 PM,109,327,NULL,0,0.2
86561,27417459,3/21/2019 7:41:45 PM,109,330,NULL,0,0.2
86561,27417467,3/21/2019 7:42:10 PM,109,328,NULL,0,0.2
86561,27417476,3/21/2019 7:42:35 PM,109,330,NULL,0,0.2
86561,27417485,3/21/2019 7:43:00 PM,110,335,NULL,0,0.2
86561,27417486,3/21/2019 7:43:02 PM,110,335,Mash 1,0,0.2
86561,27417489,3/21/2019 7:43:10 PM,110,331,NULL,0,0.2
86561,27417498,3/21/2019 7:43:35 PM,125,314,NULL,0,0.2
86561,27417507,3/21/2019 7:44:00 PM,125,324,NULL,0,0.2
86561,27417517,3/21/2019 7:44:25 PM,127,328,NULL,0,0.2
86561,27417525,3/21/2019 7:44:50 PM,126,328,NULL,0,0.2
86561,27417533,3/21/2019 7:45:16 PM,128,333,NULL,0,0.2
86561,27417541,3/21/2019 7:45:41 PM,130,328,NULL,0,0.2
86561,27417548,3/21/2019 7:46:06 PM,132,325,NULL,0,0.2
86561,27417556,3/21/2019 7:46:31 PM,134,321,NULL,0,0.2
86561,27417564,3/21/2019 7:46:57 PM,135,329,NULL,0,0.2
86561,27417571,3/21/2019 7:47:22 PM,137,330,NULL,0,0.2
86561,27417579,3/21/2019 7:47:47 PM,138,329,NULL,0,0.2
86561,27417587,3/21/2019 7:48:12 PM,141,325,NULL,0,0.2
86561,27417595,3/21/2019 7:48:37 PM,141,326,NULL,0,0.2
86561,27417603,3/21/2019 7:49:03 PM,143,326,NULL,0,0.2
86561,27417611,3/21/2019 7:49:28 PM,144,322,NULL,0,0.2
86561,27417619,3/21/2019 7:49:53 PM,146,325,NULL,0,0.2
86561,27417627,3/21/2019 7:50:18 PM,146,328,NULL,0,0.2
86561,27417635,3/21/2019 7:50:43 PM,147,335,NULL,0,0.2
86561,27417643,3/21/2019 7:51:09 PM,145,335,NULL,0,0.2
86561,27417651,3/21/2019 7:51:34 PM,148,333,NULL,0,0.2
86561,27417659,3/21/2019 7:51:59 PM,149,328,NULL,0,0.2
86561,27417666,3/21/2019 7:52:24 PM,148,329,NULL,0,0.2
86561,27417673,3/21/2019 7:52:49 PM,149,330,NULL,0,0.2
86561,27417680,3/21/2019 7:53:15 PM,149,332,NULL,0,0.2
86561,27417687,3/21/2019 7:53:40 PM,149,338,NULL,0,0.2
86561,27417694,3/21/2019 7:54:05 PM,150,334,NULL,0,0.2
86561,27417702,3/21/2019 7:54:30 PM,148,332,NULL,0,0.2
86561,27417710,3/21/2019 7:54:56 PM,149,330,NULL,0,0.2
86561,27417718,3/21/2019 7:55:21 PM,150,329,NULL,0,0.2
86561,27417726,3/21/2019 7:55:46 PM,149,328,NULL,0,0.2
86561,27417734,3/21/2019 7:56:11 PM,148,328,NULL,0,0.2
86561,27417742,3/21/2019 7:56:37 PM,148,327,NULL,0,0.2
86561,27417750,3/21/2019 7:57:02 PM,148,331,NULL,0,0.2
86561,27417758,3/21/2019 7:57:27 PM,148,329,NULL,0,0.2
86561,27417767,3/21/2019 7:57:52 PM,147,334,NULL,0,0.2
86561,27417774,3/21/2019 7:58:18 PM,149,330,NULL,0,0.2
86561,27417781,3/21/2019 7:58:43 PM,146,331,NULL,0,0.2
86561,27417789,3/21/2019 7:59:08 PM,145,330,NULL,0,0.2
86561,27417797,3/21/2019 7:59:33 PM,145,329,NULL,0,0.2
86561,27417808,3/21/2019 7:59:59 PM,150,329,NULL,0,0.2
86561,27417816,3/21/2019 8:00:24 PM,149,326,NULL,0,0.2
86561,27417824,3/21/2019 8:00:49 PM,150,331,NULL,0,0.2
86561,27417832,3/21/2019 8:01:14 PM,148,328,NULL,0,0.2
86561,27417840,3/21/2019 8:01:39 PM,146,328,NULL,0,0.2
86561,27417849,3/21/2019 8:02:05 PM,150,329,NULL,0,0.2
86561,27417857,3/21/2019 8:02:30 PM,149,330,NULL,0,0.2
86561,27417865,3/21/2019 8:02:55 PM,150,329,NULL,0,0.2
86561,27417874,3/21/2019 8:03:20 PM,149,331,NULL,0,0.2
86561,27417882,3/21/2019 8:03:46 PM,147,330,NULL,0,0.2
86561,27417889,3/21/2019 8:04:11 PM,148,329,NULL,0,0.2
86561,27417897,3/21/2019 8:04:36 PM,146,331,NULL,0,0.2
86561,27417905,3/21/2019 8:05:01 PM,148,328,NULL,0,0.2
86561,27417914,3/21/2019 8:05:26 PM,148,331,NULL,0,0.2
86561,27417922,3/21/2019 8:05:52 PM,149,327,NULL,0,0.2
86561,27417932,3/21/2019 8:06:17 PM,149,329,NULL,0,0.2
86561,27417940,3/21/2019 8:06:42 PM,147,329,NULL,0,0.2
86561,27417950,3/21/2019 8:07:07 PM,149,330,NULL,0,0.2
86561,27417959,3/21/2019 8:07:32 PM,145,329,NULL,0,0.2
86561,27417967,3/21/2019 8:07:58 PM,146,329,NULL,0,0.2
86561,27417977,3/21/2019 8:08:23 PM,147,327,NULL,0,0.2
86561,27417988,3/21/2019 8:08:48 PM,148,331,NULL,0,0.2
86561,27417998,3/21/2019 8:09:13 PM,148,330,NULL,0,0.2
86561,27418008,3/21/2019 8:09:39 PM,145,330,NULL,0,0.2
86561,27418018,3/21/2019 8:10:04 PM,148,330,NULL,0,0.2
86561,27418030,3/21/2019 8:10:29 PM,149,328,NULL,0,0.2
86561,27418041,3/21/2019 8:10:54 PM,150,330,NULL,0,0.2
86561,27418052,3/21/2019 8:11:19 PM,146,330,NULL,0,0.2
86561,27418065,3/21/2019 8:11:45 PM,145,328,NULL,0,0.2
86561,27418076,3/21/2019 8:12:10 PM,148,332,NULL,0,0.2
86561,27418089,3/21/2019 8:12:35 PM,150,330,NULL,0,0.2
86561,27418100,3/21/2019 8:13:00 PM,148,327,NULL,0,0.2
86561,27418110,3/21/2019 8:13:26 PM,145,330,NULL,0,0.2
86561,27418121,3/21/2019 8:13:51 PM,147,327,NULL,0,0.2
86561,27418132,3/21/2019 8:14:16 PM,148,328,NULL,0,0.2
86561,27418143,3/21/2019 8:14:41 PM,146,329,NULL,0,0.2
86561,27418154,3/21/2019 8:15:06 PM,147,329,NULL,0,0.2
86561,27418165,3/21/2019 8:15:32 PM,149,328,NULL,0,0.2
86561,27418176,3/21/2019 8:15:57 PM,146,328,NULL,0,0.2
86561,27418187,3/21/2019 8:16:22 PM,147,329,NULL,0,0.2
86561,27418198,3/21/2019 8:16:48 PM,148,330,NULL,0,0.2
86561,27418209,3/21/2019 8:17:13 PM,146,330,NULL,0,0.2
86561,27418220,3/21/2019 8:17:38 PM,149,328,NULL,0,0.2
86561,27418230,3/21/2019 8:18:03 PM,146,329,NULL,0,0.2
86561,27418240,3/21/2019 8:18:28 PM,148,333,NULL,0,0.2
86561,27418251,3/21/2019 8:18:53 PM,146,333,NULL,0,0.2
86561,27418262,3/21/2019 8:19:19 PM,145,331,NULL,0,0.2
86561,27418273,3/21/2019 8:19:44 PM,145,327,NULL,0,0.2
86561,27418284,3/21/2019 8:20:09 PM,150,326,NULL,0,0.2
86561,27418295,3/21/2019 8:20:34 PM,147,329,NULL,0,0.2
86561,27418306,3/21/2019 8:21:00 PM,149,327,NULL,0,0.2
86561,27418317,3/21/2019 8:21:25 PM,145,330,NULL,0,0.2
86561,27418330,3/21/2019 8:21:50 PM,146,337,NULL,0,0.2
86561,27418341,3/21/2019 8:22:15 PM,148,326,NULL,0,0.2
86561,27418353,3/21/2019 8:22:41 PM,150,331,NULL,0,0.2
86561,27418363,3/21/2019 8:23:06 PM,148,331,NULL,0,0.2
86561,27418373,3/21/2019 8:23:31 PM,149,332,NULL,0,0.2
86561,27418383,3/21/2019 8:23:56 PM,148,333,NULL,0,0.2
86561,27418393,3/21/2019 8:24:21 PM,149,328,NULL,0,0.2
86561,27418402,3/21/2019 8:24:47 PM,149,328,NULL,0,0.2
86561,27418414,3/21/2019 8:25:12 PM,148,328,NULL,0,0.2
86561,27418427,3/21/2019 8:25:37 PM,146,329,NULL,0,0.2
86561,27418437,3/21/2019 8:26:03 PM,146,332,NULL,0,0.2
86561,27418449,3/21/2019 8:26:28 PM,146,330,NULL,0,0.2
86561,27418460,3/21/2019 8:26:53 PM,145,328,NULL,0,0.2
86561,27418470,3/21/2019 8:27:18 PM,149,325,NULL,0,0.2
86561,27418480,3/21/2019 8:27:43 PM,145,331,NULL,0,0.2
86561,27418490,3/21/2019 8:28:09 PM,146,328,NULL,0,0.2
86561,27418500,3/21/2019 8:28:34 PM,147,329,NULL,0,0.2
86561,27418510,3/21/2019 8:28:59 PM,145,333,NULL,0,0.2
86561,27418522,3/21/2019 8:29:24 PM,148,330,NULL,0,0.2
86561,27418532,3/21/2019 8:29:50 PM,149,328,NULL,0,0.2
86561,27418542,3/21/2019 8:30:15 PM,149,332,NULL,0,0.2
86561,27418552,3/21/2019 8:30:40 PM,145,334,NULL,0,0.2
86561,27418555,3/21/2019 8:30:46 PM,148,334,Mash 2,0,0.2
86561,27418558,3/21/2019 8:30:53 PM,146,329,NULL,0,0.2
86561,27418567,3/21/2019 8:31:18 PM,152,328,NULL,0,0.2
86561,27418577,3/21/2019 8:31:43 PM,154,328,NULL,0,0.2
86561,27418589,3/21/2019 8:32:09 PM,153,332,NULL,0,0.2
86561,27418599,3/21/2019 8:32:34 PM,154,332,NULL,0,0.2
86561,27418609,3/21/2019 8:32:59 PM,154,326,NULL,0,0.2
86561,27418618,3/21/2019 8:33:24 PM,156,327,NULL,0,0.2
86561,27418628,3/21/2019 8:33:50 PM,155,329,NULL,0,0.2
86561,27418638,3/21/2019 8:34:15 PM,156,328,NULL,0,0.2
86561,27418648,3/21/2019 8:34:40 PM,155,332,NULL,0,0.2
86561,27418658,3/21/2019 8:35:05 PM,157,334,NULL,0,0.2
86561,27418668,3/21/2019 8:35:31 PM,156,330,NULL,0,0.2
86561,27418678,3/21/2019 8:35:56 PM,154,329,NULL,0,0.2
86561,27418688,3/21/2019 8:36:21 PM,157,327,NULL,0,0.2
86561,27418699,3/21/2019 8:36:46 PM,155,329,NULL,0,0.2
86561,27418708,3/21/2019 8:37:12 PM,157,327,NULL,0,0.2
86561,27418718,3/21/2019 8:37:37 PM,157,330,NULL,0,0.2
86561,27418727,3/21/2019 8:38:02 PM,156,332,NULL,0,0.2
86561,27418737,3/21/2019 8:38:27 PM,156,332,NULL,0,0.2
86561,27418747,3/21/2019 8:38:53 PM,155,332,NULL,0,0.2
86561,27418757,3/21/2019 8:39:18 PM,156,330,NULL,0,0.2
86561,27418767,3/21/2019 8:39:43 PM,156,333,NULL,0,0.2
86561,27418779,3/21/2019 8:40:09 PM,156,329,NULL,0,0.2
86561,27418789,3/21/2019 8:40:34 PM,157,331,NULL,0,0.2
86561,27418798,3/21/2019 8:40:59 PM,157,331,NULL,0,0.2
86561,27418808,3/21/2019 8:41:24 PM,158,329,NULL,0,0.2
86561,27418817,3/21/2019 8:41:49 PM,157,330,NULL,0,0.2
86561,27418821,3/21/2019 8:41:52 PM,157,333,Mash Out,0,0.2
86561,27418824,3/21/2019 8:42:00 PM,154,335,NULL,0,0.2
86561,27418834,3/21/2019 8:42:25 PM,167,315,NULL,0,0.2
86561,27418843,3/21/2019 8:42:50 PM,171,312,NULL,0,0.2
86561,27418853,3/21/2019 8:43:15 PM,171,328,NULL,0,0.2
86561,27418863,3/21/2019 8:43:41 PM,172,326,NULL,0,0.2
86561,27418873,3/21/2019 8:44:06 PM,173,327,NULL,0,0.2
86561,27418883,3/21/2019 8:44:31 PM,173,330,NULL,0,0.2
86561,27418893,3/21/2019 8:44:56 PM,174,332,NULL,0,0.2
86561,27418903,3/21/2019 8:45:21 PM,175,332,NULL,0,0.2
86561,27418912,3/21/2019 8:45:47 PM,174,335,NULL,0,0.2
86561,27418922,3/21/2019 8:46:12 PM,174,331,NULL,0,0.2
86561,27418932,3/21/2019 8:46:37 PM,175,330,NULL,0,0.2
86561,27418942,3/21/2019 8:47:02 PM,177,331,NULL,0,0.2
86561,27418952,3/21/2019 8:47:28 PM,177,330,NULL,0,0.2
86561,27418962,3/21/2019 8:47:53 PM,178,332,NULL,0,0.2
86561,27418972,3/21/2019 8:48:18 PM,177,333,NULL,0,0.2
86561,27418983,3/21/2019 8:48:43 PM,177,330,NULL,0,0.2
86561,27418993,3/21/2019 8:49:09 PM,177,332,NULL,0,0.2
86561,27419005,3/21/2019 8:49:34 PM,178,335,NULL,0,0.2
86561,27419014,3/21/2019 8:49:59 PM,176,336,NULL,0,0.2
86561,27419023,3/21/2019 8:50:24 PM,175,330,NULL,0,0.2
86561,27419034,3/21/2019 8:50:49 PM,176,329,NULL,0,0.2
86561,27419044,3/21/2019 8:51:15 PM,178,330,NULL,0,0.2
86561,27419054,3/21/2019 8:51:40 PM,176,327,NULL,0,0.2
86561,27419064,3/21/2019 8:52:05 PM,176,329,NULL,0,0.2
86561,27419075,3/21/2019 8:52:33 PM,225,315,NULL,0,0.2
